epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,133.809,0.69485,0.82782,0.96003,0.96485,0.5,0.57398,0.35136,1.56711,2.3746,1.59215,0.000713648,0.000713648,0.000713648
96,141.347,0.6911,1.03784,0.93538,0.81959,0.57346,0.67963,0.45746,1.29387,2.02137,1.37345,0.0007087,0.0007087,0.0007087
97,142.047,0.67796,0.84776,0.98627,0.81959,0.57346,0.67963,0.45746,1.29387,2.02137,1.37345,0.000703488,0.000703488,0.000703488
98,142.614,0.62351,0.7769,0.93231,0.81959,0.57346,0.67963,0.45746,1.29387,2.02137,1.37345,0.000698012,0.000698012,0.000698012
99,143.184,0.56085,0.79393,0.92262,0.81959,0.57346,0.67963,0.45746,1.29387,2.02137,1.37345,0.000692272,0.000692272,0.000692272
100,143.802,0.61809,0.77709,0.94047,1,0.61722,0.80778,0.51878,1.27005,1.81165,1.26515,0.000686268,0.000686268,0.000686268
101,144.365,0.51831,0.71039,0.89463,1,0.61722,0.80778,0.51878,1.27005,1.81165,1.26515,0.00068,0.00068,0.00068
102,144.94,0.71006,0.8087,0.94638,1,0.61722,0.80778,0.51878,1.27005,1.81165,1.26515,0.0006668,0.0006668,0.0006668
103,145.509,0.55732,0.75831,0.91566,1,0.61722,0.80778,0.51878,1.27005,1.81165,1.26515,0.0006536,0.0006536,0.0006536
104,146.116,0.43049,0.69819,0.90406,1,0.8547,0.8772,0.6017,1.01667,1.51847,1.10373,0.0006404,0.0006404,0.0006404
105,146.897,0.50741,0.69643,0.88098,1,0.8547,0.8772,0.6017,1.01667,1.51847,1.10373,0.0006272,0.0006272,0.0006272
106,147.523,0.42693,0.70592,0.8847,1,0.8547,0.8772,0.6017,1.01667,1.51847,1.10373,0.000614,0.000614,0.000614
107,155.656,0.51854,0.7693,0.95362,1,0.8547,0.8772,0.6017,1.01667,1.51847,1.10373,0.0006008,0.0006008,0.0006008
108,156.321,0.66677,0.76929,0.97939,1,0.84365,0.87775,0.63886,1.01864,1.33318,1.1227,0.0005876,0.0005876,0.0005876
109,156.948,0.59646,0.82174,0.97521,1,0.84365,0.87775,0.63886,1.01864,1.33318,1.1227,0.0005744,0.0005744,0.0005744
110,157.558,0.58292,0.69352,0.92911,1,0.84365,0.87775,0.63886,1.01864,1.33318,1.1227,0.0005612,0.0005612,0.0005612
111,158.174,0.61034,0.83058,0.95824,1,0.84365,0.87775,0.63886,1.01864,1.33318,1.1227,0.000548,0.000548,0.000548
112,166.186,0.54381,0.70467,0.90745,1,0.87342,0.88216,0.67635,0.9934,1.20585,1.13784,0.0005348,0.0005348,0.0005348
113,166.804,0.62817,0.78051,0.98257,1,0.87342,0.88216,0.67635,0.9934,1.20585,1.13784,0.0005216,0.0005216,0.0005216
114,167.417,0.60396,0.73478,0.93131,1,0.87342,0.88216,0.67635,0.9934,1.20585,1.13784,0.0005084,0.0005084,0.0005084
115,168.04,0.47727,0.69989,0.90105,1,0.87342,0.88216,0.67635,0.9934,1.20585,1.13784,0.0004952,0.0004952,0.0004952
116,175.708,0.5804,0.7944,0.9176,0.98578,0.875,0.88132,0.64563,1.02316,1.18345,1.17741,0.000482,0.000482,0.000482
117,176.281,0.52344,0.72694,0.91369,0.98578,0.875,0.88132,0.64563,1.02316,1.18345,1.17741,0.0004688,0.0004688,0.0004688
118,176.859,0.54401,0.7114,0.93021,0.98578,0.875,0.88132,0.64563,1.02316,1.18345,1.17741,0.0004556,0.0004556,0.0004556
119,177.438,0.43723,0.6342,0.87741,0.98578,0.875,0.88132,0.64563,1.02316,1.18345,1.17741,0.0004424,0.0004424,0.0004424
120,178.183,0.61822,0.75715,1.03911,0.97211,0.875,0.89127,0.65742,0.92851,1.13625,1.12659,0.0004292,0.0004292,0.0004292
121,178.748,0.54068,0.7351,0.88872,0.97211,0.875,0.89127,0.65742,0.92851,1.13625,1.12659,0.000416,0.000416,0.000416
122,179.318,0.57735,0.86581,0.96491,0.97211,0.875,0.89127,0.65742,0.92851,1.13625,1.12659,0.0004028,0.0004028,0.0004028
123,179.888,0.46409,0.67152,0.88481,0.97211,0.875,0.89127,0.65742,0.92851,1.13625,1.12659,0.0003896,0.0003896,0.0003896
124,180.504,0.47837,0.66368,0.89789,0.97423,0.875,0.89841,0.69392,0.89812,1.13765,1.13153,0.0003764,0.0003764,0.0003764
125,181.12,0.46698,0.63938,0.86399,0.97423,0.875,0.89841,0.69392,0.89812,1.13765,1.13153,0.0003632,0.0003632,0.0003632
126,181.751,0.55767,0.69877,0.94892,0.97423,0.875,0.89841,0.69392,0.89812,1.13765,1.13153,0.00035,0.00035,0.00035
127,189.651,0.58336,0.70404,0.95176,0.97423,0.875,0.89841,0.69392,0.89812,1.13765,1.13153,0.0003368,0.0003368,0.0003368
128,190.521,0.57486,0.74563,0.96682,0.98396,0.875,0.94357,0.68272,0.93006,1.14403,1.16592,0.0003236,0.0003236,0.0003236
129,191.09,0.5102,0.6436,0.87287,0.98396,0.875,0.94357,0.68272,0.93006,1.14403,1.16592,0.0003104,0.0003104,0.0003104
130,191.666,0.492,0.6799,0.92493,0.98396,0.875,0.94357,0.68272,0.93006,1.14403,1.16592,0.0002972,0.0002972,0.0002972
131,192.235,0.60252,0.69435,0.93448,0.98396,0.875,0.94357,0.68272,0.93006,1.14403,1.16592,0.000284,0.000284,0.000284
132,192.857,0.71533,0.80132,0.94974,0.98374,0.875,0.94885,0.67273,0.92753,1.10381,1.1855,0.0002708,0.0002708,0.0002708
133,193.432,0.51047,0.69459,0.92973,0.98374,0.875,0.94885,0.67273,0.92753,1.10381,1.1855,0.0002576,0.0002576,0.0002576
134,194.002,0.53568,0.80525,0.99949,0.98374,0.875,0.94885,0.67273,0.92753,1.10381,1.1855,0.0002444,0.0002444,0.0002444
135,194.584,0.56831,0.65326,0.99161,0.98374,0.875,0.94885,0.67273,0.92753,1.10381,1.1855,0.0002312,0.0002312,0.0002312
136,195.332,0.45768,0.65842,0.91666,0.97607,0.875,0.955,0.72226,0.93217,1.05308,1.18282,0.000218,0.000218,0.000218
137,202.55,0.53516,0.67552,0.88124,0.97607,0.875,0.955,0.72226,0.93217,1.05308,1.18282,0.0002048,0.0002048,0.0002048
138,203.169,0.54083,0.68744,0.92659,0.97607,0.875,0.955,0.72226,0.93217,1.05308,1.18282,0.0001916,0.0001916,0.0001916
139,203.778,0.42102,0.57735,0.89404,0.97607,0.875,0.955,0.72226,0.93217,1.05308,1.18282,0.0001784,0.0001784,0.0001784
140,204.437,0.45354,0.7068,0.91579,0.98213,0.875,0.96227,0.71346,0.96385,1.03901,1.18983,0.0001652,0.0001652,0.0001652
141,208.148,0.3779,0.75237,0.84244,0.98213,0.875,0.96227,0.71346,0.96385,1.03901,1.18983,0.000152,0.000152,0.000152
142,212.098,0.50609,0.88414,0.91005,0.98213,0.875,0.96227,0.71346,0.96385,1.03901,1.18983,0.0001388,0.0001388,0.0001388
143,212.739,0.38995,0.78665,0.81217,0.98213,0.875,0.96227,0.71346,0.96385,1.03901,1.18983,0.0001256,0.0001256,0.0001256
144,213.495,0.36249,0.73174,0.85276,0.98428,0.875,0.96227,0.71025,0.99771,1.01848,1.18422,0.0001124,0.0001124,0.0001124
145,214.061,0.3688,0.7521,0.84536,0.98428,0.875,0.96227,0.71025,0.99771,1.01848,1.18422,9.92e-05,9.92e-05,9.92e-05
146,214.631,0.39146,0.78384,0.85178,0.98428,0.875,0.96227,0.71025,0.99771,1.01848,1.18422,8.6e-05,8.6e-05,8.6e-05
147,215.199,0.43354,0.78941,0.8874,0.98428,0.875,0.96227,0.71025,0.99771,1.01848,1.18422,7.28e-05,7.28e-05,7.28e-05
148,215.806,0.42979,0.74853,0.93762,0.9837,0.875,0.971,0.68971,0.97866,0.9759,1.1656,5.96e-05,5.96e-05,5.96e-05
149,216.372,0.42743,0.71283,0.79491,0.9837,0.875,0.971,0.68971,0.97866,0.9759,1.1656,4.64e-05,4.64e-05,4.64e-05
150,216.944,0.54289,0.84298,0.92579,0.9837,0.875,0.971,0.68971,0.97866,0.9759,1.1656,3.32e-05,3.32e-05,3.32e-05
